territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Chefchaouen,chefchaouen,sante,crsr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,lsp_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,structures_appui_total,2,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,total_general,55,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Fahs-Anjra,fahs anjra,sante,essp_csr1,2,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_csr2,5,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_dr,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_total,8,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_csu1,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_csu2,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_urbain_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,essp_total_global,8,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,cdtmr_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,crsr_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,lsp_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,structures_appui_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,total_general,8,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,5.0
Larache,larache,sante,essp_csr1,8,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_csr2,9,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_dr,7,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_total,24,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_csu1,10,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_csu2,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_urbain_total,10,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,essp_total_global,34,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,cdtmr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,crsr_total,2,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,lsp_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,structures_appui_total,4,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Larache,larache,sante,total_general,38,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,6.0
Ouezzane,ouezzane,sante,essp_csr1,7,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_csr2,10,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_dr,17,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_total,34,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_csu1,6,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_csu2,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_urbain_total,6,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,essp_total_global,40,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,cdtmr_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,crsr_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,lsp_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,structures_appui_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Ouezzane,ouezzane,sante,total_general,40,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,9.0
Tanger-Assilah,tanger assilah,sante,essp_csr1,6,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
