territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Chefchaouen,chefchaouen,sante,Femmes de 40 à 69 ans - Urbain,7787,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 40 à 69 ans - Rural,36284,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 40 à 69 ans - Ensemble,44070,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Fahs-Anjra,fahs anjra,sante,Femmes de 15 à 49 ans - Urbain,0,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 15 à 49 ans - Rural,17879,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 15 à 49 ans - Ensemble,17879,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes mariées de 15 à 49 ans - Urbain,0,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes mariées de 15 à 49 ans - Rural,9942,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes mariées de 15 à 49 ans - Ensemble,9942,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 30 à 49 ans - Urbain,0,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 30 à 49 ans - Rural,8300,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 30 à 49 ans - Ensemble,8300,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 40 à 69 ans - Urbain,0,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 40 à 69 ans - Rural,8702,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,Femmes de 40 à 69 ans - Ensemble,8702,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,5.0
Larache,larache,sante,Femmes de 15 à 49 ans - Urbain,84870,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 15 à 49 ans - Rural,52863,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 15 à 49 ans - Ensemble,137733,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes mariées de 15 à 49 ans - Urbain,47793,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes mariées de 15 à 49 ans - Rural,31977,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes mariées de 15 à 49 ans - Ensemble,79770,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 30 à 49 ans - Urbain,47266,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 30 à 49 ans - Rural,24272,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 30 à 49 ans - Ensemble,71538,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 40 à 69 ans - Urbain,47759,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 40 à 69 ans - Rural,26365,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Larache,larache,sante,Femmes de 40 à 69 ans - Ensemble,74123,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,6.0
Ouezzane,ouezzane,sante,Femmes de 15 à 49 ans - Urbain,22988,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 15 à 49 ans - Rural,51610,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 15 à 49 ans - Ensemble,74598,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes mariées de 15 à 49 ans - Urbain,13138,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes mariées de 15 à 49 ans - Rural,30392,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes mariées de 15 à 49 ans - Ensemble,43530,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 30 à 49 ans - Urbain,12497,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 30 à 49 ans - Rural,24207,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 30 à 49 ans - Ensemble,36704,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 40 à 69 ans - Urbain,13099,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 40 à 69 ans - Rural,31514,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Ouezzane,ouezzane,sante,Femmes de 40 à 69 ans - Ensemble,44612,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,9.0
Tanger-Assilah,tanger assilah,sante,Femmes de 15 à 49 ans - Urbain,342010,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 15 à 49 ans - Rural,15727,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 15 à 49 ans - Ensemble,357737,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes mariées de 15 à 49 ans - Urbain,188811,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes mariées de 15 à 49 ans - Rural,8835,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes mariées de 15 à 49 ans - Ensemble,197646,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 30 à 49 ans - Urbain,182985,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 30 à 49 ans - Rural,7083,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 30 à 49 ans - Ensemble,190068,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 40 à 69 ans - Urbain,159418,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 40 à 69 ans - Rural,8285,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,Femmes de 40 à 69 ans - Ensemble,167706,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,2.0
Tétouan,tetouan,sante,Femmes de 15 à 49 ans - Urbain,129146,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 15 à 49 ans - Rural,35437,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 15 à 49 ans - Ensemble,164583,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes mariées de 15 à 49 ans - Urbain,69446,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes mariées de 15 à 49 ans - Rural,18857,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes mariées de 15 à 49 ans - Ensemble,88303,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 30 à 49 ans - Urbain,71971,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 30 à 49 ans - Rural,16316,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 30 à 49 ans - Ensemble,88287,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 40 à 69 ans - Urbain,77295,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 40 à 69 ans - Rural,17222,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
Tétouan,tetouan,sante,Femmes de 40 à 69 ans - Ensemble,94517,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,4.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 15 à 49 ans - Urbain,58978,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 15 à 49 ans - Rural,2888,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 15 à 49 ans - Ensemble,61866,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes mariées de 15 à 49 ans - Urbain,35092,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes mariées de 15 à 49 ans - Rural,1632,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes mariées de 15 à 49 ans - Ensemble,36724,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 30 à 49 ans - Urbain,32224,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 30 à 49 ans - Rural,1294,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 30 à 49 ans - Ensemble,33518,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 40 à 69 ans - Urbain,25434,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 40 à 69 ans - Rural,1481,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,Femmes de 40 à 69 ans - Ensemble,26915,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,3.0
