province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Al Hoceima,Tétanos,0,al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,7
Chefchaouen,Tétanos,0,chefchaouen,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Tétanos,0,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Tétanos,0,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Tétanos,0,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Tétanos,0,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Tétanos,0,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Tétanos,0,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Coque- luche,12,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
Al Hoceima,Coque- luche,0,al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,7
Chefchaouen,Coque- luche,1,chefchaouen,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Coque- luche,0,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Coque- luche,4,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Coque- luche,0,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Coque- luche,0,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Coque- luche,4,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Coque- luche,3,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Rougeole,1,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
Al Hoceima,Rougeole,1,al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,7
Chefchaouen,Rougeole,0,chefchaouen,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Rougeole,0,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Rougeole,0,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Rougeole,0,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Rougeole,0,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Rougeole,0,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Rougeole,0,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
