province_prefecture,milieu,fk_territoire,indicateur,valeur,territoire_id,indicateur_id
Province de Ouezzane,Ensemble,ouezzane,population_legale_2024,274577.0,9.0,68
Province de Ouezzane,Ensemble,ouezzane,menages_2024,74896.0,9.0,66
Province de Ouezzane,Ensemble,ouezzane,taux_accroissement_pop_pct,-0.9,9.0,70
Province de Ouezzane,Ensemble,ouezzane,taux_accroissement_menages_pct,0.99,9.0,69
Préfecture de Tanger-Assilah,Ensemble,tanger assilah,population_legale_2014,1065601.0,2.0,67
Préfecture de Tanger-Assilah,Ensemble,tanger assilah,menages_2014,266738.0,2.0,65
Préfecture de Tanger-Assilah,Ensemble,tanger assilah,population_legale_2024,1494413.0,2.0,68
Préfecture de Tanger-Assilah,Ensemble,tanger assilah,menages_2024,418844.0,2.0,66
Préfecture de Tanger-Assilah,Ensemble,tanger assilah,taux_accroissement_pop_pct,3.44,2.0,70
Préfecture de Tanger-Assilah,Ensemble,tanger assilah,taux_accroissement_menages_pct,4.62,2.0,69
Province de Tétouan,Ensemble,tetouan,population_legale_2014,550374.0,4.0,67
Province de Tétouan,Ensemble,tetouan,menages_2014,126969.0,4.0,65
Province de Tétouan,Ensemble,tetouan,population_legale_2024,611928.0,4.0,68
Province de Tétouan,Ensemble,tetouan,menages_2024,157384.0,4.0,66
Province de Tétouan,Ensemble,tetouan,taux_accroissement_pop_pct,1.07,4.0,70
Province de Tétouan,Ensemble,tetouan,taux_accroissement_menages_pct,2.17,4.0,69
Région de Tanger-Tétouan-Al Hoceima,Ensemble,tanger tetouan al hoceima,population_legale_2014,3556729.0,1.0,67
Région de Tanger-Tétouan-Al Hoceima,Ensemble,tanger tetouan al hoceima,menages_2014,799124.0,1.0,65
Région de Tanger-Tétouan-Al Hoceima,Ensemble,tanger tetouan al hoceima,population_legale_2024,4030222.0,1.0,68
Région de Tanger-Tétouan-Al Hoceima,Ensemble,tanger tetouan al hoceima,menages_2024,1048860.0,1.0,66
Région de Tanger-Tétouan-Al Hoceima,Ensemble,tanger tetouan al hoceima,taux_accroissement_pop_pct,1.26,1.0,70
Région de Tanger-Tétouan-Al Hoceima,Ensemble,tanger tetouan al hoceima,taux_accroissement_menages_pct,2.76,1.0,69
