province_prefecture,commune_rurale,nb_douars,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
وزان Ouazzane,Ounnana ونانة,25,4.6,3.7,1.3,2.0,4.8,36.0,170.0
شفشاون Chefchaouen,Talambote تلمبوط,29,4.6,1.1,3.8,0.5,6.0,20.7,162.0
 الحسيمة  Al Hoceima,Rouadi ارواضي,22,4.5,4.0,1.0,2.6,4.6,40.9,120.0
فحص - انجرة Fahs-Anjra,Al Bahraoyine البحراويين,8,4.5,4.8,0.2,0.9,3.3,25.0,74.0
Tanger-Assilah طنجة - أصيلة ,Had Al Gharbia حد الغربية,41,4.4,4.4,0.8,1.3,4.5,46.3,43.0
Tétouan تطوان,Souk Kdim سوق القديم,21,4.4,4.3,0.6,1.2,4.4,42.9,54.0
M'diq Fnideq المضيق - الفنيدق,Belyounech بليونش,5,4.3,4.0,1.3,2.5,3.7,40.0,50.0
 الحسيمة  Al Hoceima,Ait Youssef Ou Ali أيت يوسف وعلي,10,4.3,4.8,1.3,2.2,3.5,40.0,112.0
Tétouan تطوان,Bni Said Bni Said بني سعيد,35,4.0,0.9,1.7,0.6,4.1,25.7,71.0
Tanger-Assilah طنجة - أصيلة ,Sebt Azzinate سبت Zinat الزينات,17,4.0,2.5,1.0,1.3,4.0,35.3,41.0
Tanger-Assilah طنجة - أصيلة ,Sidi Lyamani سيدي اليمني,21,3.9,3.5,0.8,2.2,3.8,28.6,45.0
Tanger-Assilah طنجة - أصيلة ,Al Manzla المنزلة,19,3.8,0.0,0.5,0.6,4.8,26.3,39.0
Tétouan تطوان,Zaitoune الزيتون,17,3.8,2.1,0.2,0.8,3.7,29.4,70.0
Tétouan تطوان,Jbel Lahbib جبل لحبيب,14,3.8,2.2,0.9,1.6,3.8,28.6,55.0
Tétouan تطوان,Dar Bni Karrich دار بني قريش,4,3.7,3.4,0.0,1.8,3.0,25.0,67.0
 الحسيمة  Al Hoceima,Beni Gmil بني اكميل,37,3.5,0.0,0.7,0.7,4.0,27.0,107.0
Tétouan تطوان,Bni Idder بني يدر,27,3.5,2.0,0.9,0.7,3.5,22.2,61.0
 الحسيمة  Al Hoceima,Louta لوطا,11,3.5,3.2,0.9,1.6,3.0,0.0,113.0
 الحسيمة  Al Hoceima,Sidi Bouzineb سيدي بوزينب,16,3.0,0.6,1.5,1.2,3.0,25.0,121.0
 الحسيمة  Al Hoceima,Izemmouren ازمورن,8,2.8,2.8,0.6,1.9,2.9,0.0,118.0
