etablissement_id,nom_etablissement,adresse,commune,province,region,type_etablissement,fk_territoire,commune_norm,territoire_id_commune
177,ECOLE MOULAY ABESSLAM,AVENU 2MARS N1 COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
178,ECOLE OUKBA IBNOU  NAFAE,AVENUe  OKBA BEN NAFIE COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
179,ECOLE IMAM GHAZALI,BD CAIR LOT ESSMARA COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
180,ECOLE MOHAMED V MIXTE,AVENUE DES FAR COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
181,ECOLE MOHAMED BEN  RADI SLAOUI,LOT WAFAE COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
182,ECOLE LISSANE EDDINE IBNOU EL KHATIB,AVENUe IBN KHATIB COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
183,ECOLE MOAAD BNOU JABAL,LOT CHAABANE1 COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
184,ECOLE ABDELKHALAK TORRES,LOT CDG  LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
185,ECOLE EDDAKHLA,LAOUAMRA CENTRE COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
186,ECOLE IMAM BOUKHARI,SAHEL CENTRE COMMUNE SAHEL,Sahel,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,sahel,93
187,ECOLE TABARI,Ecole tabari,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
188, ECOLE BEGGARA  ,DOUAR BEGGARA COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
189,ECOLE REKKADA,DOUAR REKADA COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
190,ECOLE EL GHDIRA   ,DOUAR LAGHDIRA COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
