id,nom,theme,couv,zeros,taux,vmin,vmax
157,Enfants de moins de 5 ans - Ensemble,health,0,0,,,
158,Enfants de moins de 5 ans - Rural,health,0,0,,,
159,Enfants de moins de 5 ans - Urbain,health,0,0,,,
160,Naissances attendues - Ensemble,health,0,0,,,
161,Naissances attendues - Rural,health,0,0,,,
162,Naissances attendues - Urbain,health,0,0,,,
167,Condom,health,0,0,,,
168,DIU,health,0,0,,,
169,Injections,health,0,0,,,
170,Pilules,health,0,0,,,
171,Total,health,0,0,,,
172,B.C.G,health,0,0,,,
173,DTCP1,health,0,0,,,
174,DTCP2,health,0,0,,,
175,DTCP3,health,0,0,,,
176,Polio,health,0,0,,,
177,RR1,health,0,0,,,
178,Degré de déshydratation - (A),health,0,0,,,
179,Degré de déshydratation - (B),health,0,0,,,
180,Degré de déshydratation - (C),health,0,0,,,
181,Diarhée Persistante,health,0,0,,,
182,Dysentérie,health,0,0,,,
202,Covid-19,health,0,0,,,
204,Méningite,health,0,0,,,
206,Toxi-infection collective,health,0,0,,,
207,Tuber-culose,health,0,0,,,
209,Femmes de 15 à 49 ans - Ensemble,health,0,0,,,
210,Femmes de 15 à 49 ans - Rural,health,0,0,,,
211,Femmes de 15 à 49 ans - Urbain,health,0,0,,,
212,Femmes de 30 à 49 ans - Ensemble,health,0,0,,,
213,Femmes de 30 à 49 ans - Rural,health,0,0,,,
214,Femmes de 30 à 49 ans - Urbain,health,0,0,,,
215,Femmes de 40 à 69 ans - Ensemble,health,0,0,,,
216,Femmes de 40 à 69 ans - Rural,health,0,0,,,
217,Femmes de 40 à 69 ans - Urbain,health,0,0,,,
218,Femmes mariées de 15 à 49 ans - Ensemble,health,0,0,,,
219,Femmes mariées de 15 à 49 ans - Rural,health,0,0,,,
220,Femmes mariées de 15 à 49 ans - Urbain,health,0,0,,,
221,cdtmr_total,health,0,0,,,
222,crsr_total,health,0,0,,,
223,essp_csr1,health,0,0,,,
224,essp_csr2,health,0,0,,,
225,essp_csu1,health,0,0,,,
227,essp_dr,health,0,0,,,
228,essp_total,health,0,0,,,
229,essp_total_global,health,0,0,,,
230,essp_urbain_total,health,0,0,,,
232,structures_appui_total,health,0,0,,,
233,total_general,health,0,0,,,
234,centre_hemodialyse,health,0,0,,,
239,hopital_provincial,health,0,0,,,
245,total_general,health,0,0,,,
246,total_hospital,health,0,0,,,
255,ump_smur,health,0,0,,,
256,ump_total,health,0,0,,,
263,Médecins généralistes,health,0,0,,,
264,Médecins spécialistes,health,0,0,,,
265,Chirurgiens dentistes par province (ou préfecture) :,health,0,0,,,
266,nombre_abonnes,infrastructure,0,0,,,
267,production,infrastructure,0,0,,,
268,ventes_abonnes,infrastructure,0,0,,,
269,ventes_regies_concessions,infrastructure,0,0,,,
270,Bonne Qualité 2021,infrastructure,0,0,,,
271,Bonne Qualité 2022,infrastructure,0,0,,,
272,Bonne Qualité 2023,infrastructure,0,0,,,
273,Bonne Qualité 2024,infrastructure,0,0,,,
274,Execellante Qaulité 2021,infrastructure,0,0,,,
275,Execellante Qaulité 2022,infrastructure,0,0,,,
276,Execellante Qaulité 2023,infrastructure,0,0,,,
277,Execellante Qaulité 2024,infrastructure,0,0,,,
278,Qualité Suffisante 2021,infrastructure,0,0,,,
279,Qualité Suffisante 2022,infrastructure,0,0,,,
280,Qualité Suffisante 2023,infrastructure,0,0,,,
281,Qualité Suffisante 2024,infrastructure,0,0,,,
282,Qualité insuffisante 2021,infrastructure,0,0,,,
283,Qualité insuffisante 2022,infrastructure,0,0,,,
284,Qualité insuffisante 2023,infrastructure,0,0,,,
285,Qualité insuffisante 2024,infrastructure,0,0,,,
286,Total 2021,infrastructure,0,0,,,
287,Total 2022,infrastructure,0,0,,,
288,Total 2023,infrastructure,0,0,,,
289,Total 2024,infrastructure,0,0,,,
290,nbre_prelevements_2021,infrastructure,0,0,,,
291,nbre_prelevements_2022,infrastructure,0,0,,,
292,nbre_prelevements_2023,infrastructure,0,0,,,
293,nbre_prelevements_2024,infrastructure,0,0,,,
294,nbre_stations_2021,infrastructure,0,0,,,
295,nbre_stations_2022,infrastructure,0,0,,,
296,nbre_stations_2023,infrastructure,0,0,,,
297,nbre_stations_2024,infrastructure,0,0,,,
298,plages_evolution_total 2021,infrastructure,0,0,,,
299,plages_evolution_total 2022,infrastructure,0,0,,,
300,plages_evolution_total 2023,infrastructure,0,0,,,
301,plages_evolution_total 2024,infrastructure,0,0,,,
302,total_general,infrastructure,0,0,,,
303,trafic_commercial,infrastructure,0,0,,,
304,trafic_non_commercial,infrastructure,0,0,,,
305,routes_nationales_dont_revetues_km,infrastructure,0,0,,,
306,routes_nationales_total_km,infrastructure,0,0,,,
307,routes_provinciales_dont_revetues_km,infrastructure,0,0,,,
308,routes_provinciales_total_km,infrastructure,0,0,,,
