indicateur_id,nom_indicateur,theme,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,unite
72,population,demography,demography_demography_population_population_legale_2025_urba,long,valeur,population,territoire_id,
73,distance_centre_sante_km,demography,demography_demography_population_population_rural,long,valeur,distance_centre_sante_km,territoire_id,
74,distance_college_km,demography,demography_demography_population_population_rural,long,valeur,distance_college_km,territoire_id,
75,distance_ecole_primaire_km,demography,demography_demography_population_population_rural,long,valeur,distance_ecole_primaire_km,territoire_id,
76,distance_lycee_km,demography,demography_demography_population_population_rural,long,valeur,distance_lycee_km,territoire_id,
77,distance_route_carrossable_km,demography,demography_demography_population_population_rural,long,valeur,distance_route_carrossable_km,territoire_id,
78,distance_route_goudronnee_km,demography,demography_demography_population_population_rural,long,valeur,distance_route_goudronnee_km,territoire_id,
79,nombre_menages,demography,demography_demography_population_population_rural,long,valeur,nombre_menages,territoire_id,
80,pct_15_59ans,demography,demography_demography_population_population_rural,long,valeur,pct_15_59ans,territoire_id,
81,pct_60ans_plus,demography,demography_demography_population_population_rural,long,valeur,pct_60ans_plus,territoire_id,
82,pct_celibataire,demography,demography_demography_population_population_rural,long,valeur,pct_celibataire,territoire_id,
83,pct_divorce,demography,demography_demography_population_population_rural,long,valeur,pct_divorce,territoire_id,
84,pct_enregistrement_etat_civil,demography,demography_demography_population_population_rural,long,valeur,pct_enregistrement_etat_civil,territoire_id,
85,pct_logement_appartement,demography,demography_demography_population_population_rural,long,valeur,pct_logement_appartement,territoire_id,
86,pct_logement_autre,demography,demography_demography_population_population_rural,long,valeur,pct_logement_autre,territoire_id,
87,pct_logement_dur_rural,demography,demography_demography_population_population_rural,long,valeur,pct_logement_dur_rural,territoire_id,
88,pct_logement_maison_marocaine_moderne,demography,demography_demography_population_population_rural,long,valeur,pct_logement_maison_marocaine_moderne,territoire_id,
89,pct_logement_maison_marocaine_traditionnelle,demography,demography_demography_population_population_rural,long,valeur,pct_logement_maison_marocaine_traditionnelle,territoire_id,
90,pct_logement_pise_rural,demography,demography_demography_population_population_rural,long,valeur,pct_logement_pise_rural,territoire_id,
91,pct_logement_sommaire_bidonville,demography,demography_demography_population_population_rural,long,valeur,pct_logement_sommaire_bidonville,territoire_id,
92,pct_logement_villa,demography,demography_demography_population_population_rural,long,valeur,pct_logement_villa,territoire_id,
93,pct_marie,demography,demography_demography_population_population_rural,long,valeur,pct_marie,territoire_id,
94,pct_moins_15ans,demography,demography_demography_population_population_rural,long,valeur,pct_moins_15ans,territoire_id,
95,pct_nationalite_etrangere,demography,demography_demography_population_population_rural,long,valeur,pct_nationalite_etrangere,territoire_id,
96,pct_nationalite_marocaine,demography,demography_demography_population_population_rural,long,valeur,pct_nationalite_marocaine,territoire_id,
97,pct_sexe_feminin,demography,demography_demography_population_population_rural,long,valeur,pct_sexe_feminin,territoire_id,
98,pct_sexe_masculin,demography,demography_demography_population_population_rural,long,valeur,pct_sexe_masculin,territoire_id,
99,pct_veuf,demography,demography_demography_population_population_rural,long,valeur,pct_veuf,territoire_id,
100,population,demography,demography_demography_population_population_rural,long,valeur,population,territoire_id,
101,population_15ans_plus,demography,demography_demography_population_population_rural,long,valeur,population_15ans_plus,territoire_id,
102,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),territoire_id,
103,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,territoire_id,
104,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,territoire_id,
105,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,territoire_id,
106,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,territoire_id,
107,Niveau d'études dans l'enseignement général (%) - Primaire,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Primaire,territoire_id,
