province_prefecture,commune_rurale,nb_douars,menages_total,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
 الحسيمة  Al Hoceima,Chakrane شقران,14.0,773.0,12.1,10.0,4.2,3.7,12.1,92.9,108.0
شفشاون Chefchaouen,Bni Smih بني سميح,43.0,2780.0,11.9,7.4,9.5,1.6,12.0,62.8,143.0
شفشاون Chefchaouen,Bni Mansourبني منصور,33.0,3154.0,11.6,10.0,3.2,1.8,11.5,78.8,157.0
العرائش Larache,Bou Jedyane بوجديان,28.0,2639.0,11.5,5.8,1.2,0.8,15.5,67.9,85.0
شفشاون Chefchaouen,Bni Darkoul بني دركول,31.0,2870.0,11.1,5.3,1.8,1.3,8.5,51.6,150.0
وزان Ouazzane,Bni Quolla بني كلة,51.0,3742.0,11.0,8.8,1.6,2.1,8.4,68.6,167.0
فحص - انجرة Fahs-Anjra,Taghramt تغرامت,20.0,2385.0,10.8,11.4,2.9,1.4,10.8,75.0,78.0
 الحسيمة  Al Hoceima,Zarqt زرقت,19.0,1178.0,10.8,8.3,0.8,1.6,10.8,68.4,124.0
Tanger-Assilah طنجة - أصيلة ,Al Manzla المنزلة,19.0,629.0,10.7,0.0,1.0,1.1,10.4,26.3,39.0
شفشاون Chefchaouen,Oued Malha واد ملحة,26.0,2638.0,10.7,9.6,2.3,1.8,10.7,73.1,146.0
العرائش Larache,Tatoft تطفت,25.0,2317.0,10.6,11.7,2.6,1.2,10.6,72.0,86.0
وزان Ouazzane,Zoumi زومي,67.0,8355.0,10.6,9.0,3.4,1.7,8.5,76.1,179.0
شفشاون Chefchaouen,Bni Bouzra بني بوزرة,40.0,3363.0,10.5,7.8,5.0,1.4,9.5,62.5,158.0
Tétouan تطوان,Al Oued الواد,28.0,2238.0,10.5,8.6,3.1,1.1,10.5,64.3,65.0
 الحسيمة  Al Hoceima,Arbaa Taourirt اربعاء تاوريرت,12.0,922.0,10.5,12.0,6.4,1.8,10.1,75.0,109.0
Tétouan تطوان,Oulad Ali Mansourأولاد علي منصور,13.0,850.0,10.3,4.8,4.1,1.3,8.7,46.2,66.0
وزان Ouazzane,Brikcha ابريكشة,26.0,2120.0,10.3,6.8,1.4,1.3,13.7,61.5,174.0
