code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1511.0,Préfecture de Tanger-Assilah,Ensemble,Niveau d'études dans l'enseignement général (%) - Primaire,26.2,tanger assilah,2.0,107
1511.0,Préfecture de Tanger-Assilah,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,19.5,tanger assilah,2.0,109
1511.0,Préfecture de Tanger-Assilah,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,13.8,tanger assilah,2.0,110
1511.0,Préfecture de Tanger-Assilah,Ensemble,Niveau d'études dans l'enseignement général (%) - Supérieur,11.9,tanger assilah,2.0,111
1511.0,Préfecture de Tanger-Assilah,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.8,tanger assilah,2.0,115
1511.0,Préfecture de Tanger-Assilah,Masculin,Taux d'analphabétisme des 10 ans et plus (%),9.6,tanger assilah,2.0,113
1511.0,Préfecture de Tanger-Assilah,Masculin,Taux d'analphabétisme des 15 ans et plus (%),10.7,tanger assilah,2.0,114
1511.0,Préfecture de Tanger-Assilah,Masculin,Population alphabète de 10 ans et plus,557433.0,tanger assilah,2.0,112
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.4,tanger assilah,2.0,104
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,2.0,102
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,19.7,tanger assilah,2.0,103
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,52.4,tanger assilah,2.0,105
1511.0,Préfecture de Tanger-Assilah,Masculin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,23.8,tanger assilah,2.0,106
1511.0,Préfecture de Tanger-Assilah,Masculin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.6,tanger assilah,2.0,108
1511.0,Préfecture de Tanger-Assilah,Masculin,Niveau d'études dans l'enseignement général (%) - Primaire,26.9,tanger assilah,2.0,107
1511.0,Préfecture de Tanger-Assilah,Masculin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,21.6,tanger assilah,2.0,109
1511.0,Préfecture de Tanger-Assilah,Masculin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,14.4,tanger assilah,2.0,110
1511.0,Préfecture de Tanger-Assilah,Masculin,Niveau d'études dans l'enseignement général (%) - Supérieur,11.7,tanger assilah,2.0,111
1511.0,Préfecture de Tanger-Assilah,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.4,tanger assilah,2.0,115
1511.0,Préfecture de Tanger-Assilah,Féminin,Taux d'analphabétisme des 10 ans et plus (%),21.0,tanger assilah,2.0,113
1511.0,Préfecture de Tanger-Assilah,Féminin,Taux d'analphabétisme des 15 ans et plus (%),23.3,tanger assilah,2.0,114
1511.0,Préfecture de Tanger-Assilah,Féminin,Population alphabète de 10 ans et plus,476921.0,tanger assilah,2.0,112
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.3,tanger assilah,2.0,104
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,2.0,102
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,21.8,tanger assilah,2.0,103
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,55.3,tanger assilah,2.0,105
1511.0,Préfecture de Tanger-Assilah,Féminin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,30.4,tanger assilah,2.0,106
1511.0,Préfecture de Tanger-Assilah,Féminin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.3,tanger assilah,2.0,108
1511.0,Préfecture de Tanger-Assilah,Féminin,Niveau d'études dans l'enseignement général (%) - Primaire,25.6,tanger assilah,2.0,107
1511.0,Préfecture de Tanger-Assilah,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,17.4,tanger assilah,2.0,109
1511.0,Préfecture de Tanger-Assilah,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,13.3,tanger assilah,2.0,110
1511.0,Préfecture de Tanger-Assilah,Féminin,Niveau d'études dans l'enseignement général (%) - Supérieur,12.0,tanger assilah,2.0,111
1511010.0,Commune de Tanger,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.9,tanger assilah,34.0,115
1511010.0,Commune de Tanger,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),14.5,tanger assilah,34.0,113
1511010.0,Commune de Tanger,Ensemble,Taux d'analphabétisme des 15 ans et plus (%),16.0,tanger assilah,34.0,114
1511010.0,Commune de Tanger,Ensemble,Population alphabète de 10 ans et plus,898068.0,tanger assilah,34.0,112
1511010.0,Commune de Tanger,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.3,tanger assilah,34.0,104
1511010.0,Commune de Tanger,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,34.0,102
1511010.0,Commune de Tanger,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,21.4,tanger assilah,34.0,103
1511010.0,Commune de Tanger,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,54.5,tanger assilah,34.0,105
1511010.0,Commune de Tanger,Ensemble,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,26.3,tanger assilah,34.0,106
1511010.0,Commune de Tanger,Ensemble,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.4,tanger assilah,34.0,108
1511010.0,Commune de Tanger,Ensemble,Niveau d'études dans l'enseignement général (%) - Primaire,25.8,tanger assilah,34.0,107
1511010.0,Commune de Tanger,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,19.6,tanger assilah,34.0,109
1511010.0,Commune de Tanger,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,14.4,tanger assilah,34.0,110
1511010.0,Commune de Tanger,Ensemble,Niveau d'études dans l'enseignement général (%) - Supérieur,12.5,tanger assilah,34.0,111
1511010.0,Commune de Tanger,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.6,tanger assilah,34.0,115
1511010.0,Commune de Tanger,Masculin,Taux d'analphabétisme des 10 ans et plus (%),8.9,tanger assilah,34.0,113
1511010.0,Commune de Tanger,Masculin,Taux d'analphabétisme des 15 ans et plus (%),9.9,tanger assilah,34.0,114
1511010.0,Commune de Tanger,Masculin,Population alphabète de 10 ans et plus,482102.0,tanger assilah,34.0,112
1511010.0,Commune de Tanger,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.3,tanger assilah,34.0,104
