territoire_id,indicateur,valeur,source,annee,url,indicateur_id
8,etab_qualifiant_prive,0,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-32",2023-2024,https://www.hcp.ma/file/248150/,521
8,etab_qualifiant_public,24,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-26",2023-2024,https://www.hcp.ma/file/248150/,520
8,etab_qualifiant_total,24,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
9,etab_collegial_prive,4,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
9,etab_collegial_public,18,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
9,etab_collegial_total,22,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
9,etab_primaire_prive,12,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
9,etab_primaire_public,90,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
9,etab_primaire_satellites,197,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
9,etab_primaire_total,102,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
9,etab_qualifiant_prive,0,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-32",2023-2024,https://www.hcp.ma/file/248150/,521
9,etab_qualifiant_public,17,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-26",2023-2024,https://www.hcp.ma/file/248150/,520
9,etab_qualifiant_total,17,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
