theme,indicateur,milieu,zone,sexe,valeur,fk_territoire,territoire_id,indicateur_id
capital_humain,Population de 10 ans et plus,Ensemble,Région TTA,Masculin,1667350.0,tanger tetouan al hoceima,1.0,331
capital_humain,Population de 10 ans et plus,Ensemble,Région TTA,Féminin,1629877.0,tanger tetouan al hoceima,1.0,331
capital_humain,Population de 10 ans et plus,Ensemble,Région TTA,Ensemble,3297227.0,tanger tetouan al hoceima,1.0,331
capital_humain,Population alphabète de 10 ans et plus,Urbain,Région TTA,Masculin,974483.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Urbain,Région TTA,Féminin,844796.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Urbain,Région TTA,Ensemble,1819279.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Rural,Région TTA,Masculin,438884.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Rural,Région TTA,Féminin,287121.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Rural,Région TTA,Ensemble,726004.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Ensemble,Région TTA,Masculin,1413367.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Ensemble,Région TTA,Féminin,1131917.0,tanger tetouan al hoceima,1.0,330
capital_humain,Population alphabète de 10 ans et plus,Ensemble,Région TTA,Ensemble,2545283.0,tanger tetouan al hoceima,1.0,330
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Urbain,Région TTA,Masculin,10.3,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Urbain,Région TTA,Féminin,22.7,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Urbain,Région TTA,Ensemble,16.5,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Rural,Région TTA,Masculin,24.5,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Rural,Région TTA,Féminin,46.6,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Rural,Région TTA,Ensemble,35.1,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Ensemble,Région TTA,Masculin,15.2,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Ensemble,Région TTA,Féminin,30.6,tanger tetouan al hoceima,1.0,334
capital_humain,Taux d'analphabétisme des 10 ans et plus (%),Ensemble,Région TTA,Ensemble,22.8,tanger tetouan al hoceima,1.0,334
capital_humain,Population de 15 ans et plus,Urbain,Région TTA,Masculin,965010.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Urbain,Région TTA,Féminin,977826.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Urbain,Région TTA,Ensemble,1942836.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Rural,Région TTA,Masculin,508124.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Rural,Région TTA,Féminin,469727.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Rural,Région TTA,Ensemble,977851.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Ensemble,Région TTA,Masculin,1473134.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Ensemble,Région TTA,Féminin,1447553.0,tanger tetouan al hoceima,1.0,332
capital_humain,Population de 15 ans et plus,Ensemble,Région TTA,Ensemble,2920687.0,tanger tetouan al hoceima,1.0,332
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Urbain,Région TTA,Masculin,11.4,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Urbain,Région TTA,Féminin,25.2,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Urbain,Région TTA,Ensemble,18.4,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Rural,Région TTA,Masculin,27.7,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Rural,Région TTA,Féminin,53.1,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Rural,Région TTA,Ensemble,39.9,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Ensemble,Région TTA,Masculin,17.0,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Ensemble,Région TTA,Féminin,34.3,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme des 15 ans et plus (%),Ensemble,Région TTA,Ensemble,25.6,tanger tetouan al hoceima,1.0,335
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Urbain,Région TTA,Masculin,1.2,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Urbain,Région TTA,Féminin,0.9,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Urbain,Région TTA,Ensemble,1.1,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Rural,Région TTA,Masculin,2.2,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Rural,Région TTA,Féminin,1.7,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Rural,Région TTA,Ensemble,1.9,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Ensemble,Région TTA,Masculin,1.6,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Ensemble,Région TTA,Féminin,1.2,tanger tetouan al hoceima,1.0,336
capital_humain,Taux d'analphabétisme selon les groupes d’âges (%),Ensemble,Région TTA,Ensemble,1.4,tanger tetouan al hoceima,1.0,336
