code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,8.0,tanger assilah,2.0,391
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,66.3,tanger assilah,2.0,390
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,0.9,tanger assilah,2.0,384
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.6,tanger assilah,2.0,385
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,2.1,tanger assilah,2.0,387
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,2.1,tanger assilah,2.0,386
1511.0,Préfecture de Tanger-Assilah,Masculin,Taux de prévalence du handicap (%),3.7,tanger assilah,2.0,394
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues locales utilisées (non exclusives) (%) - Darija,98.5,tanger assilah,2.0,376
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.7,tanger assilah,2.0,378
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues locales utilisées (non exclusives) (%) - Tamazight,1.5,tanger assilah,2.0,379
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues locales utilisées (non exclusives) (%) - Tarifit,4.2,tanger assilah,2.0,380
1511.0,Préfecture de Tanger-Assilah,Masculin,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger assilah,2.0,377
1511.0,Préfecture de Tanger-Assilah,Masculin,Population active de 15 ans et plus,409242.0,tanger assilah,2.0,381
1511.0,Préfecture de Tanger-Assilah,Masculin,Population inactive de 15 ans et plus,139522.0,tanger assilah,2.0,383
1511.0,Préfecture de Tanger-Assilah,Masculin,Taux d'activité des 15 ans et plus (%),74.6,tanger assilah,2.0,392
1511.0,Préfecture de Tanger-Assilah,Masculin,Taux de chômage (%),14.3,tanger assilah,2.0,393
1511.0,Préfecture de Tanger-Assilah,Masculin,Population active occupée de 15 ans et plus,350563.0,tanger assilah,2.0,382
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,3.1,tanger assilah,2.0,388
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,20.8,tanger assilah,2.0,389
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,7.1,tanger assilah,2.0,391
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,62.4,tanger assilah,2.0,390
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,0.8,tanger assilah,2.0,384
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.7,tanger assilah,2.0,385
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,2.6,tanger assilah,2.0,387
1511.0,Préfecture de Tanger-Assilah,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,2.4,tanger assilah,2.0,386
1511.0,Préfecture de Tanger-Assilah,Féminin,Taux de prévalence du handicap (%),3.8,tanger assilah,2.0,394
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues locales utilisées (non exclusives) (%) - Darija,98.4,tanger assilah,2.0,376
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.4,tanger assilah,2.0,378
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues locales utilisées (non exclusives) (%) - Tamazight,1.3,tanger assilah,2.0,379
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues locales utilisées (non exclusives) (%) - Tarifit,4.6,tanger assilah,2.0,380
1511.0,Préfecture de Tanger-Assilah,Féminin,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger assilah,2.0,377
1511.0,Préfecture de Tanger-Assilah,Féminin,Population active de 15 ans et plus,155421.0,tanger assilah,2.0,381
1511.0,Préfecture de Tanger-Assilah,Féminin,Population inactive de 15 ans et plus,384431.0,tanger assilah,2.0,383
1511.0,Préfecture de Tanger-Assilah,Féminin,Taux d'activité des 15 ans et plus (%),28.8,tanger assilah,2.0,392
1511.0,Préfecture de Tanger-Assilah,Féminin,Taux de chômage (%),17.8,tanger assilah,2.0,393
1511.0,Préfecture de Tanger-Assilah,Féminin,Population active occupée de 15 ans et plus,127760.0,tanger assilah,2.0,382
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,1.5,tanger assilah,2.0,388
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,7.4,tanger assilah,2.0,389
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,10.5,tanger assilah,2.0,391
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,77.1,tanger assilah,2.0,390
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,1.3,tanger assilah,2.0,384
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.3,tanger assilah,2.0,385
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,0.7,tanger assilah,2.0,387
