territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Fahs-Anjra,fahs anjra,sante,centre_transfusion,0,4_Repartition_des_hopitaux_par_region_2023.csv,5.0
Larache,larache,sante,centre_transfusion,0,4_Repartition_des_hopitaux_par_region_2023.csv,6.0
Ouezzane,ouezzane,sante,centre_transfusion,0,4_Repartition_des_hopitaux_par_region_2023.csv,9.0
Tanger-Assilah,tanger assilah,sante,centre_transfusion,1,4_Repartition_des_hopitaux_par_region_2023.csv,2.0
Tétouan,tetouan,sante,centre_transfusion,1,4_Repartition_des_hopitaux_par_region_2023.csv,4.0
M'Diq-Fnideq,m'diq fnideq,sante,centre_transfusion,0,4_Repartition_des_hopitaux_par_region_2023.csv,3.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,centre_transfusion,3,4_Repartition_des_hopitaux_par_region_2023.csv,1.0
Al Hoceima,al hoceima,sante,total_general,8,4_Repartition_des_hopitaux_par_region_2023.csv,7.0
Chefchaouen,chefchaouen,sante,total_general,2,4_Repartition_des_hopitaux_par_region_2023.csv,8.0
Fahs-Anjra,fahs anjra,sante,total_general,1,4_Repartition_des_hopitaux_par_region_2023.csv,5.0
Larache,larache,sante,total_general,4,4_Repartition_des_hopitaux_par_region_2023.csv,6.0
Ouezzane,ouezzane,sante,total_general,2,4_Repartition_des_hopitaux_par_region_2023.csv,9.0
Tanger-Assilah,tanger assilah,sante,total_general,17,4_Repartition_des_hopitaux_par_region_2023.csv,2.0
Tétouan,tetouan,sante,total_general,6,4_Repartition_des_hopitaux_par_region_2023.csv,4.0
M'Diq-Fnideq,m'diq fnideq,sante,total_general,5,4_Repartition_des_hopitaux_par_region_2023.csv,3.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,total_general,45,4_Repartition_des_hopitaux_par_region_2023.csv,1.0
